onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n01729322_5540	1	55	0	0.000000
40	8	1	n04525305_6856	1	887	0	0.000000
48	8	1	n01498041_5457	1	7	0	0.000000
56	8	1	n03000684_425	1	492	0	0.000000
64	8	1	n02088238_706	1	162	0	0.000000
72	8	1	n02480495_10269	1	366	0	0.000000
80	8	1	n02099712_2123	1	209	0	0.000000
88	8	1	n13040303_4594	1	995	0	0.000000
96	8	1	n03903868_4026	1	709	0	0.000000
104	8	1	n02058221_787	1	147	0	0.000000
112	8	1	n02132136_13623	1	295	0	0.000000
120	8	1	n01773549_678	1	74	0	0.000000
128	8	1	n03444034_10499	1	574	0	0.000000
136	8	1	n01729977_653	1	56	0	0.000000
144	8	1	n02110341_7656	1	252	0	0.000000
152	8	1	n06874185_21355	1	921	0	0.000000
160	8	1	n03344393_1533	1	555	0	0.000000
168	8	2	n03344393_1533	1	555	1	169.033513
176	8	1	n02797295_13212	1	429	0	0.000000
184	8	1	n02676566_71	1	403	0	0.000000
192	8	1	n04429376_37527	1	858	0	0.000000
200	8	1	n03888605_34162	1	703	0	0.000000
208	8	2	n03888605_34162	1	703	1	209.029390
216	8	1	n02356798_787	1	336	0	0.000000
224	8	2	n02356798_787	1	336	1	225.028112
232	8	1	n09421951_7909	1	978	0	0.000000
240	8	1	n03895866_9774	1	706	0	0.000000
248	8	1	n01740131_16017	1	61	0	0.000000
256	8	1	n03388043_125	1	563	0	0.000000
264	8	1	n03337140_1367	1	554	0	0.000000
272	8	1	n07565083_8899	1	923	0	0.000000
280	8	1	n02025239_2049	1	140	0	0.000000
288	8	1	n02091244_3002	1	174	0	0.000000
296	8	1	n02825657_16295	1	443	0	0.000000
304	8	1	n02236044_367	1	316	0	0.000000
312	8	1	n02488702_90	1	376	0	0.000000
320	8	1	n02804610_30390	1	433	0	0.000000
328	8	1	n02909870_4	1	464	0	0.000000
336	8	1	n02992211_50317	1	487	0	0.000000
344	8	1	n01944390_541	1	114	0	0.000000
352	8	1	n04111531_16251	1	767	0	0.000000
360	8	1	n03782006_1688	1	665	0	0.000000
368	8	1	n02094433_13979	1	188	0	0.000000
376	8	2	n02094433_13979	1	188	1	377.030816
384	8	1	n07684084_3012	1	931	0	0.000000
392	8	1	n02112706_1558	1	263	0	0.000000
400	8	1	n04350905_1692	1	835	0	0.000000
408	8	1	n02106382_4760	1	234	0	0.000000
416	8	1	n02101556_4965	1	217	0	0.000000
424	8	1	n03347037_7835	1	557	0	0.000000
432	8	1	n01770393_1097	1	72	0	0.000000
440	8	1	n02916936_329	1	466	0	0.000000
448	8	1	n01955084_133	1	117	0	0.000000
456	8	2	n01955084_133	1	117	1	457.022329
464	8	1	n02859443_4392	1	450	0	0.000000
472	6	-2	n/a	n/a	n/a	n/a	n/a
