onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n04118538_3482	1	769	0	0.000000
40	8	1	n02363005_24790	1	338	0	0.000000
48	8	1	n03787032_15291	1	668	0	0.000000
56	8	1	n02093256_5295	1	180	0	0.000000
64	8	1	n02165456_7402	1	302	0	0.000000
72	8	2	n02165456_7402	1	302	1	73.025751
80	8	1	n01770393_1097	1	72	0	0.000000
88	8	1	n01729322_5540	1	55	0	0.000000
96	8	1	n04133789_17801	1	775	0	0.000000
104	8	1	n01914609_2	1	109	0	0.000000
112	8	1	n01871265_7157	1	102	0	0.000000
120	8	1	n04311004_1721	1	822	0	0.000000
128	8	1	n03598930_13823	1	612	0	0.000000
136	8	1	n01632458_4798	1	29	0	0.000000
144	8	1	n02091032_12425	1	172	0	0.000000
152	8	1	n02823428_720	1	441	0	0.000000
160	8	1	n01774384_6745	1	76	0	0.000000
168	8	2	n01774384_6745	1	76	1	169.033294
176	8	1	n01943899_49	1	113	0	0.000000
184	8	1	n02777292_7917	1	417	0	0.000000
192	8	1	n07760859_10405	1	957	0	0.000000
200	8	2	n07760859_10405	1	957	1	201.030265
208	8	1	n02134084_20942	1	297	0	0.000000
216	8	1	n02794156_9193	1	427	0	0.000000
224	8	1	n01776313_1223	1	79	0	0.000000
232	8	1	n02113978_1595	1	269	0	0.000000
240	8	1	n02281787_783	1	327	0	0.000000
248	8	1	n03929855_3407	1	716	0	0.000000
256	8	1	n03535780_52714	1	603	0	0.000000
264	8	1	n03089624_18696	1	510	0	0.000000
272	8	1	n03240683_778	1	541	0	0.000000
280	8	1	n03916031_3348	1	712	0	0.000000
288	8	1	n04548280_8247	1	893	0	0.000000
296	8	1	n02799071_13115	1	430	0	0.000000
304	8	1	n02963159_1640	1	475	0	0.000000
312	8	1	n02992211_50317	1	487	0	0.000000
320	8	1	n03871628_9690	1	693	1	327.116690
328	8	1	n04553703_3985	1	897	0	0.000000
336	8	1	n03223299_911	1	540	0	0.000000
344	8	1	n03630383_8047	1	618	0	0.000000
352	8	1	n02099849_159	1	210	0	0.000000
360	8	2	n02099849_159	1	210	1	360.481807
368	8	1	n02094114_4357	1	186	0	0.000000
376	8	1	n02708093_6175	1	410	0	0.000000
384	8	1	n03467068_1496	1	584	0	0.000000
392	8	1	n04235860_6674	1	798	0	0.000000
400	8	1	n02317335_531	1	328	0	0.000000
408	8	1	n02093754_5867	1	183	0	0.000000
416	8	1	n03532672_506	1	601	0	0.000000
424	8	1	n02107312_3883	1	238	0	0.000000
432	8	1	n02100583_20582	1	212	0	0.000000
440	8	2	n02100583_20582	1	212	0	0.000000
448	8	1	n02837789_19104	1	446	0	0.000000
456	8	1	n07720875_11723	1	946	0	0.000000
464	8	1	n02410509_8161	1	348	0	0.000000
472	6	-2	n/a	n/a	n/a	n/a	n/a
