onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n03459775_5142	1	582	0	0.000000
40	8	1	n03207941_22717	1	535	0	0.000000
48	8	1	n03670208_5655	1	628	0	0.000000
56	8	1	n03388183_1181	1	564	0	0.000000
64	8	1	n02097298_692	1	200	0	0.000000
72	8	1	n02776631_40983	1	416	0	0.000000
80	8	1	n01685808_750	1	42	0	0.000000
88	8	1	n02088094_2654	1	161	0	0.000000
96	8	1	n03062245_2179	1	504	0	0.000000
104	8	2	n03062245_2179	1	504	1	105.031117
112	8	1	n03903868_4026	1	709	0	0.000000
120	8	1	n02492660_11880	1	380	0	0.000000
128	8	1	n07684084_3012	1	931	1	134.026716
136	8	1	n03658185_6504	1	624	0	0.000000
144	8	1	n01872401_18520	1	103	0	0.000000
152	8	1	n01697457_5774	1	50	0	0.000000
160	8	1	n02979186_8889	1	483	0	0.000000
168	8	1	n01739381_7824	1	60	0	0.000000
176	8	1	n01860187_2761	1	101	0	0.000000
184	8	2	n01860187_2761	1	101	0	0.000000
192	8	1	n04376876_3322	1	846	0	0.000000
200	8	1	n02018207_13343	1	138	0	0.000000
208	8	1	n03908714_1068	1	711	0	0.000000
216	8	2	n03908714_1068	1	711	0	0.000000
224	8	1	n03627232_1376	1	617	0	0.000000
232	8	1	n02086079_26114	1	155	0	0.000000
240	8	1	n02403003_10578	1	346	0	0.000000
248	8	1	n03873416_2553	1	694	0	0.000000
256	8	1	n03417042_176	1	570	0	0.000000
264	8	1	n01734418_1996	1	57	0	0.000000
272	8	1	n03769881_4393	1	655	0	0.000000
280	8	1	n04435653_8968	1	859	0	0.000000
288	8	1	n03026506_7095	1	497	0	0.000000
296	8	1	n04099969_339	1	766	0	0.000000
304	8	1	n09229709_2024	1	972	0	0.000000
312	8	1	n01843383_11555	1	97	0	0.000000
320	8	1	n04501370_19359	1	878	0	0.000000
328	8	1	n07695742_4548	1	933	0	0.000000
336	8	2	n07695742_4548	1	933	0	0.000000
344	8	1	n02910353_14991	1	465	1	347.024475
352	8	1	n09428293_29806	1	979	0	0.000000
360	8	1	n02536864_18132	1	392	0	0.000000
368	8	1	n07747607_2119	1	951	0	0.000000
376	8	1	n03666591_4579	1	627	0	0.000000
384	8	1	n02692877_38626	1	406	0	0.000000
392	8	1	n01664065_27821	1	34	0	0.000000
400	8	1	n02906734_4355	1	463	0	0.000000
408	8	1	n02795169_63557	1	428	0	0.000000
416	8	1	n02747177_28356	1	413	0	0.000000
424	8	1	n01582220_4262	1	19	0	0.000000
432	8	1	n02749479_173	1	414	0	0.000000
440	8	1	n03444034_10499	1	574	0	0.000000
448	8	2	n03444034_10499	1	574	0	0.000000
456	8	1	n03877845_299	1	699	0	0.000000
464	8	1	n13044778_1337	1	996	0	0.000000
472	6	-2	n/a	n/a	n/a	n/a	n/a
