onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00007._3	1	16	1	0.000000
40	8	1	IMG00007._2	1	15	1	42.347646
48	8	1	IMG00007._1	1	14	1	49.727886
56	8	1	IMG00007._0	1	13	2	58.008148
64	8	1	IMG00016._3	1	36	1	66.241309
72	8	1	IMG00016._2	1	35	1	74.856433
80	8	1	IMG00016._1	1	34	2	81.307681
88	8	1	IMG00016._0	1	33	2	88.722067
96	8	1	IMG00049._3	1	76	1	97.754163
104	8	1	IMG00049._2	1	75	1	106.852928
112	8	1	IMG00049._1	1	74	2	115.602216
120	8	1	IMG00049._0	1	73	2	121.453092
128	8	1	IMG00021._3	1	44	1	132.584419
136	8	1	IMG00021._2	1	43	1	138.550362
144	8	1	IMG00021._1	1	42	1	147.217090
152	8	1	IMG00021._0	1	41	2	154.499472
160	8	1	IMG00001._3	1	4	1	163.464911
168	8	1	IMG00001._2	1	3	1	170.680150
176	8	1	IMG00001._1	1	2	2	177.980251
184	8	1	IMG00001._0	1	1	2	184.945910
192	8	1	IMG00038._3	1	64	1	195.578275
200	8	1	IMG00038._2	1	63	1	203.511636
208	8	1	IMG00038._1	1	62	1	213.110646
216	8	1	IMG00038._0	1	61	2	219.009163
224	8	1	IMG00012._3	1	24	1	225.059748
232	8	1	IMG00012._2	1	23	1	233.275386
240	8	1	IMG00012._1	1	22	2	242.024968
248	8	1	IMG00012._0	1	21	2	249.273603
256	8	1	IMG00027._3	1	52	1	259.472998
264	8	1	IMG00027._2	1	51	1	268.521364
272	8	1	IMG00027._1	1	50	2	274.704050
280	8	1	IMG00027._0	1	49	2	281.071326
288	8	1	IMG00044._3	1	68	1	294.286727
296	8	1	IMG00044._2	1	67	1	297.818455
304	8	1	IMG00044._1	1	66	2	304.651116
312	8	1	IMG00044._0	1	65	2	312.600553
320	8	1	IMG00018._3	1	40	1	323.433323
328	8	1	IMG00018._2	1	39	1	331.998819
336	8	1	IMG00018._1	1	38	2	337.998176
344	8	1	IMG00018._0	1	37	2	345.347990
352	6	-2	n/a	n/a	n/a	n/a	n/a
