onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n03000134_5890	1	490	0	0.000000
40	8	2	n03000134_5890	1	490	1	41.027121
48	8	1	n04372370_6126	1	845	0	0.000000
56	8	1	n03673027_2080	1	629	0	0.000000
64	8	1	n04141076_20471	1	777	0	0.000000
72	8	1	n04428191_8922	1	857	0	0.000000
80	8	1	n09229709_2024	1	972	0	0.000000
88	8	1	n03388549_4582	1	565	0	0.000000
96	8	1	n03384352_8108	1	562	0	0.000000
104	8	2	n03384352_8108	1	562	1	105.036862
112	8	1	n01950731_11842	1	116	0	0.000000
120	8	2	n01950731_11842	1	116	1	121.035542
128	8	1	n07860988_9962	1	962	0	0.000000
136	8	2	n07860988_9962	1	962	1	137.033540
144	8	1	n04613696_430	1	916	0	0.000000
152	8	1	n03291819_4024	1	550	0	0.000000
160	8	1	n04589890_4564	1	905	0	0.000000
168	8	1	n03617480_16344	1	615	0	0.000000
176	8	1	n10565667_7812	1	984	0	0.000000
184	8	1	n02807133_5775	1	434	0	0.000000
192	8	1	n07892512_7601	1	967	0	0.000000
200	8	1	n02879718_32674	1	457	0	0.000000
208	8	1	n03788365_2905	1	670	0	0.000000
216	8	1	n02980441_402	1	484	0	0.000000
224	8	1	n07753113_28926	1	953	0	0.000000
232	8	1	n04296562_2545	1	820	0	0.000000
240	8	1	n02480855_21749	1	367	0	0.000000
248	8	1	n03838899_28267	1	684	0	0.000000
256	8	1	n02167151_2310	1	303	0	0.000000
264	8	1	n03887697_13069	1	701	0	0.000000
272	8	1	n03710721_29599	1	640	0	0.000000
280	8	1	n04389033_278	1	848	0	0.000000
288	8	1	n02105162_9239	1	226	0	0.000000
296	8	1	n04277352_2568	1	817	0	0.000000
304	8	1	n02092002_3751	1	178	0	0.000000
312	8	1	n04370456_5569	1	842	0	0.000000
320	8	1	n02363005_24790	1	338	0	0.000000
328	8	1	n01518878_94	1	10	0	0.000000
336	8	1	n12985857_535	1	992	0	0.000000
344	8	1	n04238763_364	1	799	0	0.000000
352	8	1	n03908714_1068	1	711	0	0.000000
360	8	1	n03742115_9012	1	649	0	0.000000
368	8	1	n02128385_34170	1	289	0	0.000000
376	8	1	n04357314_2864	1	839	0	0.000000
384	8	1	n02397096_91	1	344	0	0.000000
392	8	2	n02397096_91	1	344	1	393.026432
400	8	1	n03942813_2554	1	723	0	0.000000
408	8	1	n02095314_3710	1	189	0	0.000000
416	8	1	n01807496_493	1	87	0	0.000000
424	8	1	n01753488_12918	1	67	0	0.000000
432	8	1	n02098105_900	1	203	0	0.000000
440	8	1	n03467068_1496	1	584	0	0.000000
448	8	1	n04380533_597	1	847	0	0.000000
456	8	1	n03958227_7474	1	729	0	0.000000
464	8	1	n02526121_1766	1	391	0	0.000000
472	6	-2	n/a	n/a	n/a	n/a	n/a
