onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00001._3	1	4	1	34.413426
40	8	1	IMG00001._2	1	3	2	41.478698
48	8	1	IMG00001._1	1	2	2	49.377783
56	8	1	IMG00001._0	1	1	2	56.477191
64	8	1	IMG00163._3	2	16	1	66.109358
72	8	1	IMG00163._2	2	15	2	74.059216
80	8	1	IMG00163._1	2	14	2	80.924083
88	8	1	IMG00163._0	2	13	2	89.074165
96	8	1	IMG00060._3	3	16	2	98.356679
104	8	1	IMG00060._2	3	15	2	106.072061
112	8	1	IMG00060._1	3	14	2	113.520860
120	8	1	IMG00060._0	3	13	2	121.321053
128	8	1	IMG00250._3	5	16	1	132.353123
136	8	1	IMG00250._2	5	15	2	139.701790
144	8	1	IMG00250._1	5	14	1	145.784425
152	8	1	IMG00250._0	5	13	2	153.617074
160	8	1	IMG00037._3	4	16	1	162.400324
168	8	1	IMG00037._2	4	15	2	170.499429
176	8	1	IMG00037._1	4	14	2	178.448796
184	8	1	IMG00037._0	4	13	2	186.863966
192	8	1	IMG00041._3	1	8	1	194.680009
200	8	1	IMG00041._2	1	7	1	200.629155
208	8	1	IMG00041._1	1	6	2	209.495868
216	8	1	IMG00041._0	1	5	2	217.794392
224	8	1	IMG00107._3	2	12	1	227.344344
232	8	1	IMG00107._2	2	11	2	233.477068
240	8	1	IMG00107._1	2	10	2	247.674750
248	8	1	IMG00107._0	2	9	2	0.000000
256	8	1	IMG00044._3	3	4	1	0.000000
264	8	1	IMG00044._2	3	3	2	265.224076
272	8	1	IMG00044._1	3	2	2	273.139885
280	8	1	IMG00044._0	3	1	2	280.854990
288	8	1	IMG00114._3	5	12	1	290.803914
296	8	1	IMG00114._2	5	11	1	299.321220
304	8	1	IMG00114._1	5	10	2	305.403314
312	8	1	IMG00114._0	5	9	2	312.868569
320	8	1	IMG00007._3	4	4	1	323.418266
328	8	1	IMG00007._2	4	3	1	332.550268
336	8	1	IMG00007._1	4	2	1	340.383561
344	8	1	IMG00007._0	4	1	2	345.615384
352	6	-2	n/a	n/a	n/a	n/a	n/a
