onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00002._3	1	8	1	36.166320
40	8	1	IMG00002._2	1	7	1	41.848558
48	8	1	IMG00002._1	1	6	1	52.163995
56	8	1	IMG00002._0	1	5	2	59.263797
64	8	1	IMG00032._3	1	60	1	66.845197
72	8	1	IMG00032._2	1	59	1	77.744576
80	8	1	IMG00032._1	1	58	2	84.361805
88	8	1	IMG00032._0	1	57	2	91.227360
96	8	1	IMG00025._3	1	48	1	101.376213
104	8	1	IMG00025._2	1	47	1	108.941819
112	8	1	IMG00025._1	1	46	1	117.157899
120	8	1	IMG00025._0	1	45	2	124.856859
128	8	1	IMG00050._3	1	80	1	134.639104
136	8	1	IMG00050._2	1	79	1	141.139590
144	8	1	IMG00050._1	1	78	2	146.389382
152	8	1	IMG00050._0	1	77	1	158.287542
160	8	1	IMG00013._3	1	28	1	165.869403
168	8	1	IMG00013._2	1	27	1	172.136089
176	8	1	IMG00013._1	1	26	1	183.234901
184	8	1	IMG00013._0	1	25	2	187.435396
192	8	1	IMG00044._3	1	68	1	198.333683
200	8	1	IMG00044._2	1	67	1	202.600147
208	8	1	IMG00044._1	1	66	2	208.998765
216	8	1	IMG00044._0	1	65	2	217.198751
224	8	1	IMG00007._3	1	16	1	230.130697
232	8	1	IMG00007._2	1	15	1	239.012452
240	8	1	IMG00007._1	1	14	2	241.595415
248	8	1	IMG00007._0	1	13	2	248.794831
256	8	1	IMG00001._3	1	4	1	259.978091
264	8	1	IMG00001._2	1	3	1	267.709625
272	8	1	IMG00001._1	1	2	2	276.725477
280	8	1	IMG00001._0	1	1	2	286.724667
288	8	1	IMG00008._3	1	20	1	293.391134
296	8	1	IMG00008._2	1	19	1	299.657206
304	8	1	IMG00008._1	1	18	2	306.124123
312	8	1	IMG00008._0	1	17	2	315.506937
320	8	1	IMG00027._3	1	52	1	325.221847
328	8	1	IMG00027._2	1	51	1	330.387658
336	8	1	IMG00027._1	1	50	1	340.536194
344	8	1	IMG00027._0	1	49	2	345.657863
352	6	-2	n/a	n/a	n/a	n/a	n/a
