onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00080._3	1	16	1	35.675280
40	8	1	IMG00080._2	1	15	1	44.058825
48	8	1	IMG00080._1	1	14	1	0.000000
56	8	1	IMG00080._0	1	13	2	0.000000
64	8	1	IMG00006._3	2	4	1	67.323045
72	8	1	IMG00006._2	2	3	2	73.155014
80	8	1	IMG00006._1	2	2	2	81.070653
88	8	1	IMG00006._0	2	1	2	90.086770
96	8	1	IMG00055._3	3	12	1	99.435944
104	8	1	IMG00055._2	3	11	1	107.950988
112	8	1	IMG00055._1	3	10	2	114.334350
120	8	1	IMG00055._0	3	9	2	120.733018
128	8	1	IMG00034._3	4	12	1	131.932498
136	8	1	IMG00034._2	4	11	2	138.681460
144	8	1	IMG00034._1	4	10	2	145.297580
152	8	1	IMG00034._0	4	9	2	153.330568
160	8	1	IMG00105._3	5	4	1	162.878752
168	8	1	IMG00105._2	5	3	1	172.579717
176	8	1	IMG00105._1	5	2	1	179.660469
184	8	1	IMG00105._0	5	1	2	185.160885
192	8	1	IMG00042._3	1	12	1	194.525959
200	8	1	IMG00042._2	1	11	2	201.592097
208	8	1	IMG00042._1	1	10	2	209.425670
216	8	1	IMG00042._0	1	9	2	216.840535
224	8	1	IMG00021._3	4	8	1	228.572829
232	8	1	IMG00021._2	4	7	2	233.406118
240	8	1	IMG00021._1	4	6	2	240.687960
248	8	1	IMG00021._0	4	5	2	248.854077
256	8	1	IMG00049._3	3	8	1	259.836764
264	8	1	IMG00049._2	3	7	2	265.403453
272	8	1	IMG00049._1	3	6	2	272.918868
280	8	1	IMG00049._0	3	5	2	280.617324
288	8	1	IMG00045._3	2	8	1	290.186011
296	8	1	IMG00045._2	2	7	2	299.233273
304	8	1	IMG00045._1	2	6	2	306.265894
312	8	1	IMG00045._0	2	5	2	312.632418
320	8	1	IMG00108._3	5	8	1	322.281188
328	8	1	IMG00108._2	5	7	2	329.676749
336	8	1	IMG00108._1	5	6	2	336.845706
344	8	1	IMG00108._0	5	5	2	344.728230
352	6	-2	n/a	n/a	n/a	n/a	n/a
