onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n02066245_10848	1	148	0	0.000000
40	8	1	n13052670_156	1	997	0	0.000000
48	8	1	n04604644_10834	1	913	0	0.000000
56	8	1	n02927161_4797	1	468	0	0.000000
64	8	1	n03496892_294	1	596	0	0.000000
72	8	1	n02172182_4174	1	306	0	0.000000
80	8	1	n02493509_17579	1	381	0	0.000000
88	8	1	n02113799_902	1	268	0	0.000000
96	8	1	n02412080_22505	1	349	0	0.000000
104	8	1	n04613696_430	1	916	0	0.000000
112	8	1	n04347754_10306	1	834	0	0.000000
120	8	1	n03724870_11112	1	644	0	0.000000
128	8	1	n02108422_3543	1	244	0	0.000000
136	8	1	n04456115_6209	1	863	0	0.000000
144	8	1	n03272010_3227	1	547	0	0.000000
152	8	1	n02090721_583	1	171	0	0.000000
160	8	1	n03345487_2906	1	556	0	0.000000
168	8	2	n03345487_2906	1	556	1	169.336658
176	8	1	n03776460_21412	1	661	0	0.000000
184	8	1	n02177972_1575	1	308	0	0.000000
192	8	1	n01819313_867	1	90	0	0.000000
200	8	1	n03866082_8548	1	690	0	0.000000
208	8	2	n03866082_8548	1	690	1	213.166370
216	8	1	n03527444_17195	1	598	0	0.000000
224	8	2	n03527444_17195	1	598	1	225.032689
232	8	1	n02951358_17438	1	473	0	0.000000
240	8	1	n02025239_2049	1	140	0	0.000000
248	8	1	n04380533_597	1	847	0	0.000000
256	8	1	n02256656_1174	1	317	0	0.000000
264	8	1	n04311004_1721	1	822	0	0.000000
272	8	1	n07880968_2642	1	966	0	0.000000
280	8	1	n04209133_301	1	794	0	0.000000
288	8	1	n02102973_2150	1	222	0	0.000000
296	8	1	n02108915_1642	1	246	0	0.000000
304	8	1	n02037110_4009	1	144	0	0.000000
312	8	1	n01775062_256	1	78	0	0.000000
320	8	1	n01768244_3082	1	70	0	0.000000
328	8	1	n02091831_1404	1	177	0	0.000000
336	8	1	n03584254_1074	1	606	0	0.000000
344	8	1	n02859443_4392	1	450	0	0.000000
352	8	1	n04004767_109	1	743	0	0.000000
360	8	1	n03325584_21166	1	553	0	0.000000
368	8	1	n09246464_5530	1	973	0	0.000000
376	8	2	n09246464_5530	1	973	1	377.035268
384	8	1	n02843684_1499	1	449	0	0.000000
392	8	1	n02804414_2761	1	432	0	0.000000
400	8	1	n03188531_20778	1	530	0	0.000000
408	8	1	n02504013_179	1	386	0	0.000000
416	8	1	n02133161_3850	1	296	0	0.000000
424	8	1	n01665541_4667	1	35	0	0.000000
432	8	1	n03857828_144	1	689	0	0.000000
440	8	1	n01667114_13941	1	36	0	0.000000
448	8	1	n04597913_3445	1	911	0	0.000000
456	8	2	n04597913_3445	1	911	1	457.026418
464	8	1	n04033995_12886	1	751	0	0.000000
472	6	-2	n/a	n/a	n/a	n/a	n/a
