onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n07875152_1373	1	965	0	0.000000
40	8	2	n07875152_1373	1	965	1	42.021320
48	8	1	n02840245_1374	1	447	0	0.000000
56	8	1	n04111531_16251	1	767	0	0.000000
64	8	1	n07615774_5677	1	930	0	0.000000
72	8	2	n07615774_5677	1	930	1	73.035618
80	8	1	n04162706_5819	1	786	0	0.000000
88	8	1	n02167151_2310	1	303	0	0.000000
96	8	1	n02088238_706	1	162	0	0.000000
104	8	1	n02974003_514	1	480	0	0.000000
112	8	1	n02094258_4825	1	187	0	0.000000
120	8	1	n03888605_34162	1	703	0	0.000000
128	8	2	n03888605_34162	1	703	0	0.000000
136	8	1	n03742115_9012	1	649	0	0.000000
144	8	1	n02484975_10704	1	371	0	0.000000
152	8	1	n01924916_3232	1	111	0	0.000000
160	8	1	n04252225_3879	1	804	0	0.000000
168	8	1	n03944341_4717	1	724	0	0.000000
176	8	1	n01955084_133	1	117	0	0.000000
184	8	1	n04254680_324	1	806	0	0.000000
192	8	1	n04192698_9723	1	788	0	0.000000
200	8	1	n01695060_5570	1	49	0	0.000000
208	8	1	n02708093_6175	1	410	0	0.000000
216	8	1	n02437312_95	1	355	0	0.000000
224	8	1	n04286575_121	1	819	0	0.000000
232	8	1	n01798484_13129	1	84	0	0.000000
240	8	1	n02415577_537	1	350	0	0.000000
248	8	1	n04525305_6856	1	887	0	0.000000
256	8	1	n03935335_11933	1	720	0	0.000000
264	8	1	n07720875_11723	1	946	0	0.000000
272	8	1	n04357314_2864	1	839	0	0.000000
280	8	1	n04254777_11237	1	807	0	0.000000
288	8	1	n04081281_20688	1	763	0	0.000000
296	8	1	n02410509_8161	1	348	0	0.000000
304	8	2	n02410509_8161	1	348	1	305.029271
312	8	1	n04540053_16771	1	891	0	0.000000
320	8	1	n02259212_37	1	318	0	0.000000
328	8	1	n03424325_17699	1	571	0	0.000000
336	8	1	n03970156_27616	1	732	0	0.000000
344	8	1	n03534580_5799	1	602	0	0.000000
352	8	1	n03954731_3987	1	727	0	0.000000
360	8	1	n03920288_7838	1	713	0	0.000000
368	8	1	n02096437_6683	1	195	0	0.000000
376	8	1	n04398044_4824	1	850	0	0.000000
384	8	1	n02423022_2094	1	354	0	0.000000
392	8	1	n02799071_13115	1	430	0	0.000000
400	8	1	n01518878_94	1	10	0	0.000000
408	8	1	n03794056_19437	1	675	0	0.000000
416	8	2	n03794056_19437	1	675	0	0.000000
424	8	1	n04485082_4265	1	873	0	0.000000
432	8	1	n03995372_1992	1	741	0	0.000000
440	8	1	n02977058_134	1	481	0	0.000000
448	8	1	n03447447_6473	1	577	0	0.000000
456	8	1	n02102177_3362	1	219	0	0.000000
464	8	1	n07753113_28926	1	953	0	0.000000
472	6	-2	n/a	n/a	n/a	n/a	n/a
