onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00027._3	1	52	1	34.809781
40	8	1	IMG00027._2	1	51	1	44.143802
48	8	1	IMG00027._1	1	50	2	51.125580
56	8	1	IMG00027._0	1	49	2	57.208753
64	8	1	IMG00001._3	1	4	1	68.107760
72	8	1	IMG00001._2	1	3	1	76.539330
80	8	1	IMG00001._1	1	2	2	83.738127
88	8	1	IMG00001._0	1	1	2	89.322366
96	8	1	IMG00013._3	1	28	1	101.171102
104	8	1	IMG00013._2	1	27	1	106.104099
112	8	1	IMG00013._1	1	26	1	115.169728
120	8	1	IMG00013._0	1	25	2	122.901277
128	8	1	IMG00038._3	1	64	1	134.434772
136	8	1	IMG00038._2	1	63	1	140.534895
144	8	1	IMG00038._1	1	62	1	148.167021
152	8	1	IMG00038._0	1	61	2	153.832040
160	8	1	IMG00015._3	1	32	1	164.664590
168	8	1	IMG00015._2	1	31	1	170.431240
176	8	1	IMG00015._1	1	30	1	179.480930
184	8	1	IMG00015._0	1	29	2	186.062773
192	8	1	IMG00049._3	1	76	1	195.894365
200	8	1	IMG00049._2	1	75	1	205.110603
208	8	1	IMG00049._1	1	74	2	212.277190
216	8	1	IMG00049._0	1	73	2	218.559122
224	8	1	IMG00030._3	1	56	1	229.641359
232	8	1	IMG00030._2	1	55	1	236.491104
240	8	1	IMG00030._1	1	54	1	243.457981
248	8	1	IMG00030._0	1	53	2	250.457007
256	8	1	IMG00016._3	1	36	1	260.737785
264	8	1	IMG00016._2	1	35	1	268.720934
272	8	1	IMG00016._1	1	34	2	274.553647
280	8	1	IMG00016._0	1	33	2	281.337230
288	8	1	IMG00012._3	1	24	1	293.236502
296	8	1	IMG00012._2	1	23	1	298.285894
304	8	1	IMG00012._1	1	22	1	307.201570
312	8	1	IMG00012._0	1	21	2	314.167774
320	8	1	IMG00002._3	1	8	1	325.103387
328	8	1	IMG00002._2	1	7	1	333.049473
336	8	1	IMG00002._1	1	6	1	341.730669
344	8	1	IMG00002._0	1	5	2	345.480845
352	6	-2	n/a	n/a	n/a	n/a	n/a
