onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n01824575_5407	1	92	n/a	n/a
40	8	1	n04258138_322	1	808	n/a	n/a
48	8	1	n01580077_701	1	18	n/a	n/a
56	8	1	n02917067_17485	1	467	n/a	n/a
64	8	1	n04141327_3389	1	778	n/a	n/a
72	8	1	n02033041_689	1	143	n/a	n/a
80	8	1	n04487394_30069	1	876	n/a	n/a
88	8	1	n01698640_3074	1	51	n/a	n/a
96	8	1	n07860988_9962	1	962	n/a	n/a
104	8	2	n07860988_9962	1	962	n/a	n/a
112	8	1	n03868863_987	1	692	n/a	n/a
120	8	1	n02099601_559	1	208	n/a	n/a
128	8	1	n03216828_21284	1	537	n/a	n/a
136	8	1	n03998194_417	1	742	n/a	n/a
144	8	1	n02701002_988	1	408	n/a	n/a
152	8	1	n03602883_22589	1	614	n/a	n/a
160	8	1	n01773157_2376	1	73	n/a	n/a
168	8	1	n02110627_279	1	253	n/a	n/a
176	8	1	n04141975_37861	1	779	n/a	n/a
184	8	2	n04141975_37861	1	779	n/a	n/a
192	8	1	n04099969_339	1	766	n/a	n/a
200	8	1	n09193705_924	1	971	n/a	n/a
208	8	1	n01484850_25975	1	3	n/a	n/a
216	8	2	n01484850_25975	1	3	n/a	n/a
224	8	1	n01768244_3082	1	70	n/a	n/a
232	8	1	n02091134_17059	1	173	n/a	n/a
240	8	1	n03662601_1589	1	626	n/a	n/a
248	8	1	n04548362_1772	1	894	n/a	n/a
256	8	1	n04116512_290	1	768	n/a	n/a
264	8	1	n04147183_166	1	781	n/a	n/a
272	8	1	n02177972_1575	1	308	n/a	n/a
280	8	1	n02102040_334	1	218	n/a	n/a
288	8	1	n03673027_2080	1	629	n/a	n/a
296	8	1	n03445777_455	1	575	n/a	n/a
304	8	1	n03793489_22924	1	674	n/a	n/a
312	8	1	n03977966_43623	1	735	n/a	n/a
320	8	1	n02190166_10859	1	309	n/a	n/a
328	8	1	n03775546_5924	1	660	n/a	n/a
336	8	2	n03775546_5924	1	660	n/a	n/a
344	8	1	n03207941_22717	1	535	n/a	n/a
352	8	1	n02099267_2767	1	206	n/a	n/a
360	8	1	n07873807_2631	1	964	n/a	n/a
368	8	1	n03764736_13888	1	654	n/a	n/a
376	8	1	n11939491_5658	1	986	n/a	n/a
384	8	1	n02115913_1763	1	275	n/a	n/a
392	8	1	n02088466_7508	1	164	n/a	n/a
400	8	1	n01692333_8862	1	46	n/a	n/a
408	8	1	n04532106_49	1	888	n/a	n/a
416	8	1	n02492035_1844	1	379	n/a	n/a
424	8	1	n04487081_1120	1	875	n/a	n/a
432	8	1	n01819313_867	1	90	n/a	n/a
440	8	1	n04009552_2736	1	746	n/a	n/a
448	8	2	n04009552_2736	1	746	n/a	n/a
456	8	1	n04417672_5642	1	854	n/a	n/a
464	8	1	n02493509_17579	1	381	n/a	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
