onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n02484975_10704	1	371	n/a	n/a
40	8	2	n02484975_10704	1	371	n/a	n/a
48	8	1	n01824575_5407	1	92	n/a	n/a
56	8	1	n04467665_5474	1	868	n/a	n/a
64	8	1	n03337140_1367	1	554	n/a	n/a
72	8	1	n02814860_417	1	438	n/a	n/a
80	8	1	n03717622_1532	1	641	n/a	n/a
88	8	1	n03041632_2058	1	500	n/a	n/a
96	8	1	n03063689_2076	1	506	n/a	n/a
104	8	2	n03063689_2076	1	506	n/a	n/a
112	8	1	n03042490_5859	1	501	n/a	n/a
120	8	2	n03042490_5859	1	501	n/a	n/a
128	8	1	n03950228_1950	1	726	n/a	n/a
136	8	2	n03950228_1950	1	726	n/a	n/a
144	8	1	n02769748_3571	1	415	n/a	n/a
152	8	1	n01694178_204	1	48	n/a	n/a
160	8	1	n01882714_4515	1	106	n/a	n/a
168	8	1	n01685808_750	1	42	n/a	n/a
176	8	1	n03742115_9012	1	649	n/a	n/a
184	8	1	n02443484_5788	1	360	n/a	n/a
192	8	1	n02480855_21749	1	367	n/a	n/a
200	8	1	n04296562_2545	1	820	n/a	n/a
208	8	1	n02526121_1766	1	391	n/a	n/a
216	8	1	n03803284_154	1	677	n/a	n/a
224	8	1	n03532672_506	1	601	n/a	n/a
232	8	1	n03393912_18690	1	566	n/a	n/a
240	8	1	n02096051_1744	1	192	n/a	n/a
248	8	1	n04507155_1210	1	880	n/a	n/a
256	8	1	n02097209_5437	1	199	n/a	n/a
264	8	1	n03220513_8414	1	539	n/a	n/a
272	8	1	n02094433_13979	1	188	n/a	n/a
280	8	1	n03425413_29593	1	572	n/a	n/a
288	8	1	n02965783_5430	1	476	n/a	n/a
296	8	1	n02111500_124	1	258	n/a	n/a
304	8	1	n04355933_1274	1	837	n/a	n/a
312	8	1	n03492542_10366	1	593	n/a	n/a
320	8	1	n02134418_523	1	298	n/a	n/a
328	8	1	n03394916_12887	1	567	n/a	n/a
336	8	1	n02110063_4619	1	250	n/a	n/a
344	8	1	n04266014_1289	1	813	n/a	n/a
352	8	1	n02112137_2071	1	261	n/a	n/a
360	8	1	n01924916_3232	1	111	n/a	n/a
368	8	1	n01582220_4262	1	19	n/a	n/a
376	8	1	n03485794_4991	1	592	n/a	n/a
384	8	1	n04033995_12886	1	751	n/a	n/a
392	8	2	n04033995_12886	1	751	n/a	n/a
400	8	1	n01983481_5385	1	123	n/a	n/a
408	8	1	n07684084_3012	1	931	n/a	n/a
416	8	1	n03761084_12232	1	652	n/a	n/a
424	8	1	n01728920_1985	1	54	n/a	n/a
432	8	1	n03065424_3932	1	507	n/a	n/a
440	8	1	n03840681_22011	1	685	n/a	n/a
448	8	1	n02085620_3681	1	152	n/a	n/a
456	8	1	n03400231_4555	1	568	n/a	n/a
464	8	1	n02128385_34170	1	289	n/a	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
