onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n01773549_678	1	74	n/a	n/a
40	8	1	n02655020_16660	1	398	n/a	n/a
48	8	1	n04141975_37861	1	779	n/a	n/a
56	8	1	n02606052_5128	1	393	n/a	n/a
64	8	1	n02099601_559	1	208	n/a	n/a
72	8	1	n02123159_9450	1	283	n/a	n/a
80	8	1	n01560419_4335	1	17	n/a	n/a
88	8	1	n02776631_40983	1	416	n/a	n/a
96	8	1	n02346627_7989	1	335	n/a	n/a
104	8	1	n01798484_13129	1	84	n/a	n/a
112	8	1	n07880968_2642	1	966	n/a	n/a
120	8	1	n02102177_3362	1	219	n/a	n/a
128	8	1	n03444034_10499	1	574	n/a	n/a
136	8	1	n03980874_18712	1	736	n/a	n/a
144	8	1	n02804414_2761	1	432	n/a	n/a
152	8	1	n04592741_2579	1	909	n/a	n/a
160	8	1	n04505470_589	1	879	n/a	n/a
168	8	2	n04505470_589	1	879	n/a	n/a
176	8	1	n03447447_6473	1	577	n/a	n/a
184	8	1	n01910747_548	1	108	n/a	n/a
192	8	1	n02127052_206	1	288	n/a	n/a
200	8	1	n07615774_5677	1	930	n/a	n/a
208	8	2	n07615774_5677	1	930	n/a	n/a
216	8	1	n03028079_20246	1	498	n/a	n/a
224	8	2	n03028079_20246	1	498	n/a	n/a
232	8	1	n03947888_13487	1	725	n/a	n/a
240	8	1	n03018349_1849	1	496	n/a	n/a
248	8	1	n02112018_14481	1	260	n/a	n/a
256	8	1	n07718472_103	1	944	n/a	n/a
264	8	1	n02113023_1483	1	264	n/a	n/a
272	8	1	n03250847_23468	1	543	n/a	n/a
280	8	1	n04099969_339	1	766	n/a	n/a
288	8	1	n02098413_18247	1	205	n/a	n/a
296	8	1	n07695742_4548	1	933	n/a	n/a
304	8	1	n12057211_2526	1	987	n/a	n/a
312	8	1	n01829413_725	1	94	n/a	n/a
320	8	1	n07717410_1681	1	942	n/a	n/a
328	8	1	n02115641_670	1	274	n/a	n/a
336	8	1	n04153751_3119	1	784	n/a	n/a
344	8	1	n02481823_3130	1	368	n/a	n/a
352	8	1	n01440764_78	1	1	n/a	n/a
360	8	1	n02422106_448	1	352	n/a	n/a
368	8	1	n02101006_5235	1	215	n/a	n/a
376	8	2	n02101006_5235	1	215	n/a	n/a
384	8	1	n04270147_8718	1	814	n/a	n/a
392	8	1	n04004767_109	1	743	n/a	n/a
400	8	1	n03584254_1074	1	606	n/a	n/a
408	8	1	n02114548_1600	1	271	n/a	n/a
416	8	1	n04037443_2461	1	752	n/a	n/a
424	8	1	n02279972_835	1	324	n/a	n/a
432	8	1	n02906734_4355	1	463	n/a	n/a
440	8	1	n03272562_236	1	548	n/a	n/a
448	8	1	n01984695_53281	1	124	n/a	n/a
456	8	2	n01984695_53281	1	124	n/a	n/a
464	8	1	n03814639_2583	1	679	n/a	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
