onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n04604644_10834	1	913	n/a	n/a
40	8	1	n03930630_25541	1	718	n/a	n/a
48	8	1	n03658185_6504	1	624	n/a	n/a
56	8	1	n06874185_21355	1	921	n/a	n/a
64	8	1	n03873416_2553	1	694	n/a	n/a
72	8	1	n03125729_285	1	517	n/a	n/a
80	8	1	n02454379_1888	1	364	n/a	n/a
88	8	1	n02804610_30390	1	433	n/a	n/a
96	8	1	n01682714_18221	1	41	n/a	n/a
104	8	1	n01729977_653	1	56	n/a	n/a
112	8	2	n01729977_653	1	56	n/a	n/a
120	8	1	n02089078_2761	1	166	n/a	n/a
128	8	1	n02100877_1461	1	214	n/a	n/a
136	8	1	n03495258_2594	1	595	n/a	n/a
144	8	1	n02814533_80927	1	437	n/a	n/a
152	8	1	n02114855_31089	1	273	n/a	n/a
160	8	1	n01855032_4728	1	99	n/a	n/a
168	8	1	n12267677_17619	1	989	n/a	n/a
176	8	1	n03908618_642	1	710	n/a	n/a
184	8	1	n02447366_20812	1	363	n/a	n/a
192	8	1	n04525038_3744	1	886	n/a	n/a
200	8	1	n04252077_2755	1	803	n/a	n/a
208	8	1	n03196217_5827	1	531	n/a	n/a
216	8	1	n02504458_12555	1	387	n/a	n/a
224	8	1	n04090263_13471	1	765	n/a	n/a
232	8	1	n04254680_324	1	806	n/a	n/a
240	8	2	n04254680_324	1	806	n/a	n/a
248	8	1	n01980166_353	1	121	n/a	n/a
256	8	1	n04579432_13423	1	903	n/a	n/a
264	8	1	n01833805_772	1	95	n/a	n/a
272	8	1	n03124170_5427	1	516	n/a	n/a
280	8	1	n01443537_2125	1	2	n/a	n/a
288	8	1	n03877472_17900	1	698	n/a	n/a
296	8	1	n02097047_6167	1	197	n/a	n/a
304	8	1	n04540053_16771	1	891	n/a	n/a
312	8	1	n03595614_14923	1	611	n/a	n/a
320	8	1	n03782006_1688	1	665	n/a	n/a
328	8	1	n01847000_1787	1	98	n/a	n/a
336	8	2	n01847000_1787	1	98	n/a	n/a
344	8	1	n02787622_6514	1	421	n/a	n/a
352	8	1	n03961711_13250	1	730	n/a	n/a
360	8	1	n03763968_10313	1	653	n/a	n/a
368	8	1	n01872401_18520	1	103	n/a	n/a
376	8	2	n01872401_18520	1	103	n/a	n/a
384	8	1	n02099267_2767	1	206	n/a	n/a
392	8	1	n07875152_1373	1	965	n/a	n/a
400	8	1	n03733281_3161	1	647	n/a	n/a
408	8	2	n03733281_3161	1	647	n/a	n/a
416	8	1	n02123597_8890	1	285	n/a	n/a
424	8	1	n01677366_8911	1	40	n/a	n/a
432	8	1	n03109150_6151	1	513	n/a	n/a
440	8	1	n03131574_554	1	521	n/a	n/a
448	8	1	n15075141_19208	1	1000	n/a	n/a
456	8	1	n03240683_778	1	541	n/a	n/a
464	8	1	n02730930_5724	1	412	n/a	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
