onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00050._3	1	80	1	36.442325
40	8	1	IMG00050._2	1	79	2	42.026132
48	8	1	IMG00050._1	1	78	2	49.541070
56	8	1	IMG00050._0	1	77	2	57.888852
64	8	1	IMG00044._3	1	68	1	68.222730
72	8	1	IMG00044._2	1	67	2	73.788731
80	8	1	IMG00044._1	1	66	2	80.704094
88	8	1	IMG00044._0	1	65	2	88.670920
96	8	1	IMG00016._3	1	36	1	100.020418
104	8	1	IMG00016._2	1	35	2	105.985224
112	8	1	IMG00016._1	1	34	2	112.801550
120	8	1	IMG00016._0	1	33	2	121.485375
128	8	1	IMG00025._3	1	48	1	130.467117
136	8	1	IMG00025._2	1	47	1	140.282573
144	8	1	IMG00025._1	1	46	1	147.698549
152	8	1	IMG00025._0	1	45	2	153.596304
160	8	1	IMG00013._3	1	28	1	164.130888
168	8	1	IMG00013._2	1	27	1	171.744747
176	8	1	IMG00013._1	1	26	1	180.711909
184	8	1	IMG00013._0	1	25	2	186.444003
192	8	1	IMG00002._3	1	8	1	197.576839
200	8	1	IMG00002._2	1	7	1	206.260233
208	8	1	IMG00002._1	1	6	1	213.142594
216	8	1	IMG00002._0	1	5	2	217.574528
224	8	1	IMG00007._3	1	16	1	228.906729
232	8	1	IMG00007._2	1	15	1	236.355885
240	8	1	IMG00007._1	1	14	2	242.307556
248	8	1	IMG00007._0	1	13	2	248.855553
256	8	1	IMG00021._3	1	44	1	260.853002
264	8	1	IMG00021._2	1	43	1	267.553788
272	8	1	IMG00021._1	1	42	1	275.103774
280	8	1	IMG00021._0	1	41	2	282.301523
288	8	1	IMG00032._3	1	60	1	293.169122
296	8	1	IMG00032._2	1	59	1	299.551135
304	8	1	IMG00032._1	1	58	2	304.799630
312	8	1	IMG00032._0	1	57	2	312.631324
320	8	1	IMG00001._3	1	4	1	323.447766
328	8	1	IMG00001._2	1	3	1	330.263725
336	8	1	IMG00001._1	1	2	2	338.013277
344	8	1	IMG00001._0	1	1	2	345.195776
352	6	-2	n/a	n/a	n/a	n/a	n/a
