onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n03452741_905	1	580	n/a	n/a
40	8	1	n03250847_23468	1	543	n/a	n/a
48	8	1	n02346627_7989	1	335	n/a	n/a
56	8	1	n03016953_7504	1	494	n/a	n/a
64	8	1	n07718747_19839	1	945	n/a	n/a
72	8	1	n02107142_3283	1	237	n/a	n/a
80	8	1	n04277352_2568	1	817	n/a	n/a
88	8	1	n04266014_1289	1	813	n/a	n/a
96	8	1	n03188531_20778	1	530	n/a	n/a
104	8	1	n01665541_4667	1	35	n/a	n/a
112	8	2	n01665541_4667	1	35	n/a	n/a
120	8	1	n01955084_133	1	117	n/a	n/a
128	8	1	n04487081_1120	1	875	n/a	n/a
136	8	1	n03690938_8303	1	632	n/a	n/a
144	8	1	n02098105_900	1	203	n/a	n/a
152	8	1	n03720891_36026	1	642	n/a	n/a
160	8	1	n04259630_1994	1	809	n/a	n/a
168	8	1	n04476259_2874	1	869	n/a	n/a
176	8	1	n02109961_3426	1	249	n/a	n/a
184	8	1	n02782093_173	1	418	n/a	n/a
192	8	1	n02437312_95	1	355	n/a	n/a
200	8	1	n04515003_1673	1	882	n/a	n/a
208	8	1	n03532672_506	1	601	n/a	n/a
216	8	1	n02120505_10916	1	281	n/a	n/a
224	8	1	n03125729_285	1	517	n/a	n/a
232	8	1	n02110627_279	1	253	n/a	n/a
240	8	2	n02110627_279	1	253	n/a	n/a
248	8	1	n04554684_9336	1	898	n/a	n/a
256	8	1	n02091467_4957	1	175	n/a	n/a
264	8	1	n02028035_1237	1	142	n/a	n/a
272	8	1	n03776460_21412	1	661	n/a	n/a
280	8	1	n02100236_9906	1	211	n/a	n/a
288	8	1	n04505470_589	1	879	n/a	n/a
296	8	1	n03492542_10366	1	593	n/a	n/a
304	8	1	n02138441_5213	1	300	n/a	n/a
312	8	1	n13040303_4594	1	995	n/a	n/a
320	8	1	n02123045_5933	1	282	n/a	n/a
328	8	1	n02009229_4160	1	132	n/a	n/a
336	8	2	n02009229_4160	1	132	n/a	n/a
344	8	1	n01667778_731	1	37	n/a	n/a
352	8	1	n04613696_430	1	916	n/a	n/a
360	8	1	n07871810_12128	1	963	n/a	n/a
368	8	1	n03825788_61876	1	681	n/a	n/a
376	8	2	n03825788_61876	1	681	n/a	n/a
384	8	1	n01629819_1232	1	26	n/a	n/a
392	8	1	n03888605_34162	1	703	n/a	n/a
400	8	1	n12057211_2526	1	987	n/a	n/a
408	8	2	n12057211_2526	1	987	n/a	n/a
416	8	1	n01950731_11842	1	116	n/a	n/a
424	8	1	n01518878_94	1	10	n/a	n/a
432	8	1	n04127249_4530	1	773	n/a	n/a
440	8	1	n04317175_1413	1	824	n/a	n/a
448	8	1	n03527444_17195	1	598	n/a	n/a
456	8	1	n02488702_90	1	376	n/a	n/a
464	8	1	n03788195_2656	1	669	n/a	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
