onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n03032252_9684	1	499	n/a	n/a
40	8	2	n03032252_9684	1	499	n/a	n/a
48	8	1	n06874185_21355	1	921	n/a	n/a
56	8	1	n04254777_11237	1	807	n/a	n/a
64	8	1	n01744401_3055	1	63	n/a	n/a
72	8	1	n03706229_838	1	636	n/a	n/a
80	8	1	n02823428_720	1	441	n/a	n/a
88	8	1	n04355933_1274	1	837	n/a	n/a
96	8	1	n03617480_16344	1	615	n/a	n/a
104	8	2	n03617480_16344	1	615	n/a	n/a
112	8	1	n07831146_102	1	960	n/a	n/a
120	8	2	n07831146_102	1	960	n/a	n/a
128	8	1	n03272010_3227	1	547	n/a	n/a
136	8	2	n03272010_3227	1	547	n/a	n/a
144	8	1	n01914609_2	1	109	n/a	n/a
152	8	1	n03998194_417	1	742	n/a	n/a
160	8	1	n01882714_4515	1	106	n/a	n/a
168	8	1	n01737021_3035	1	59	n/a	n/a
176	8	1	n02090721_583	1	171	n/a	n/a
184	8	1	n02089078_2761	1	166	n/a	n/a
192	8	1	n01740131_16017	1	61	n/a	n/a
200	8	1	n03630383_8047	1	618	n/a	n/a
208	8	1	n03095699_4762	1	511	n/a	n/a
216	8	1	n02006656_3800	1	130	n/a	n/a
224	8	1	n04525305_6856	1	887	n/a	n/a
232	8	1	n02422106_448	1	352	n/a	n/a
240	8	1	n04235860_6674	1	798	n/a	n/a
248	8	1	n09399592_4050	1	977	n/a	n/a
256	8	1	n04483307_1300	1	872	n/a	n/a
264	8	1	n02097130_5804	1	198	n/a	n/a
272	8	1	n04550184_2333	1	895	n/a	n/a
280	8	1	n03930313_4671	1	717	n/a	n/a
288	8	1	n03379051_443	1	561	n/a	n/a
296	8	1	n02077923_1351	1	151	n/a	n/a
304	8	1	n02264363_8174	1	319	n/a	n/a
312	8	1	n02843684_1499	1	449	n/a	n/a
320	8	1	n03794056_19437	1	675	n/a	n/a
328	8	1	n04041544_1362	1	755	n/a	n/a
336	8	1	n02106550_3186	1	235	n/a	n/a
344	8	1	n02108089_18496	1	243	n/a	n/a
352	8	1	n04069434_2243	1	760	n/a	n/a
360	8	1	n07697537_23869	1	935	n/a	n/a
368	8	1	n03085013_3175	1	509	n/a	n/a
376	8	1	n02206856_1591	1	310	n/a	n/a
384	8	1	n02104365_6132	1	224	n/a	n/a
392	8	2	n02104365_6132	1	224	n/a	n/a
400	8	1	n01855032_4728	1	99	n/a	n/a
408	8	1	n02895154_5731	1	462	n/a	n/a
416	8	1	n03017168_7866	1	495	n/a	n/a
424	8	1	n02909870_4	1	464	n/a	n/a
432	8	1	n04070727_903	1	761	n/a	n/a
440	8	1	n03876231_17991	1	697	n/a	n/a
448	8	1	n02364673_3055	1	339	n/a	n/a
456	8	1	n02167151_2310	1	303	n/a	n/a
464	8	1	n07695742_4548	1	933	n/a	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
