onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n01872401_18520	1	103	n/a	n/a
40	8	1	n02417914_5155	1	351	n/a	n/a
48	8	1	n03954731_3987	1	727	n/a	n/a
56	8	1	n03131574_554	1	521	n/a	n/a
64	8	1	n02526121_1766	1	391	n/a	n/a
72	8	1	n03991062_13476	1	739	n/a	n/a
80	8	1	n04347754_10306	1	834	n/a	n/a
88	8	1	n01798484_13129	1	84	n/a	n/a
96	8	1	n03623198_14571	1	616	n/a	n/a
104	8	1	n13044778_1337	1	996	n/a	n/a
112	8	1	n13037406_2754	1	994	n/a	n/a
120	8	1	n02177972_1575	1	308	n/a	n/a
128	8	1	n01770081_1539	1	71	n/a	n/a
136	8	1	n01824575_5407	1	92	n/a	n/a
144	8	1	n02095570_6229	1	190	n/a	n/a
152	8	1	n03018349_1849	1	496	n/a	n/a
160	8	1	n02481823_3130	1	368	n/a	n/a
168	8	1	n03000684_425	1	492	n/a	n/a
176	8	1	n03658185_6504	1	624	n/a	n/a
184	8	1	n02056570_6265	1	146	n/a	n/a
192	8	1	n02119022_7848	1	278	n/a	n/a
200	8	1	n03814639_2583	1	679	n/a	n/a
208	8	1	n01582220_4262	1	19	n/a	n/a
216	8	1	n02486410_9993	1	373	n/a	n/a
224	8	1	n06794110_39	1	920	n/a	n/a
232	8	1	n04026417_7004	1	749	n/a	n/a
240	8	1	n04350905_1692	1	835	n/a	n/a
248	8	2	n04350905_1692	1	835	n/a	n/a
256	8	1	n03290653_13	1	549	n/a	n/a
264	8	2	n03290653_13	1	549	n/a	n/a
272	8	1	n02815834_13286	1	439	n/a	n/a
280	8	2	n02815834_13286	1	439	n/a	n/a
288	8	1	n07920052_2198	1	968	n/a	n/a
296	8	1	n02096437_6683	1	195	n/a	n/a
304	8	1	n02123159_9450	1	283	n/a	n/a
312	8	2	n02123159_9450	1	283	n/a	n/a
320	8	1	n03223299_911	1	540	n/a	n/a
328	8	1	n02389026_837	1	340	n/a	n/a
336	8	1	n01693334_24248	1	47	n/a	n/a
344	8	1	n02085782_11376	1	153	n/a	n/a
352	8	1	n07873807_2631	1	964	n/a	n/a
360	8	1	n03633091_1399	1	619	n/a	n/a
368	8	1	n03207941_22717	1	535	n/a	n/a
376	8	1	n02097298_692	1	200	n/a	n/a
384	8	1	n01756291_5976	1	69	n/a	n/a
392	8	1	n02514041_3087	1	390	n/a	n/a
400	8	1	n02086240_7521	1	156	n/a	n/a
408	8	1	n01530575_1070	1	11	n/a	n/a
416	8	1	n03063599_3923	1	505	n/a	n/a
424	8	1	n02088238_706	1	162	n/a	n/a
432	8	2	n02088238_706	1	162	n/a	n/a
440	8	1	n02089973_9707	1	168	n/a	n/a
448	8	1	n03394916_12887	1	567	n/a	n/a
456	8	1	n02906734_4355	1	463	n/a	n/a
464	8	1	n02129165_2708	1	292	n/a	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
