onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00114._3	5	12	1	38.404179
40	8	1	IMG00114._2	5	11	1	45.953214
48	8	1	IMG00114._1	5	10	1	52.386450
56	8	1	IMG00114._0	5	9	2	57.202503
64	8	1	IMG00037._3	4	16	1	70.085763
72	8	1	IMG00037._2	4	15	1	77.666589
80	8	1	IMG00037._1	4	14	1	86.715642
88	8	1	IMG00037._0	4	13	2	89.715058
96	8	1	IMG00041._3	1	8	1	102.847439
104	8	1	IMG00041._2	1	7	1	109.630764
112	8	1	IMG00041._1	1	6	2	115.629542
120	8	1	IMG00041._0	1	5	2	120.695617
128	8	1	IMG00060._3	3	16	1	133.328974
136	8	1	IMG00060._2	3	15	2	137.295673
144	8	1	IMG00060._1	3	14	2	145.360768
152	8	1	IMG00060._0	3	13	2	152.692285
160	8	1	IMG00163._3	2	16	1	166.624852
168	8	1	IMG00163._2	2	15	1	173.208557
176	8	1	IMG00163._1	2	14	2	177.857115
184	8	1	IMG00163._0	2	13	2	185.324161
192	8	1	IMG00250._3	5	16	1	199.256164
200	8	1	IMG00250._2	5	15	1	206.354842
208	8	1	IMG00250._1	5	14	1	214.720130
216	8	1	IMG00250._0	5	13	2	218.553559
224	8	1	IMG00055._3	3	12	1	230.085609
232	8	1	IMG00055._2	3	11	1	238.085224
240	8	1	IMG00055._1	3	10	2	243.218168
248	8	1	IMG00055._0	3	9	2	248.916965
256	8	1	IMG00001._3	1	4	1	263.233000
264	8	1	IMG00001._2	1	3	2	268.182661
272	8	1	IMG00001._1	1	2	2	273.248958
280	8	1	IMG00001._0	1	1	2	280.680526
288	8	1	IMG00034._3	4	12	1	294.729464
296	8	1	IMG00034._2	4	11	1	301.213681
304	8	1	IMG00034._1	4	10	2	305.778856
312	8	1	IMG00034._0	4	9	2	312.777470
320	8	1	IMG00045._3	2	8	1	326.260234
328	8	1	IMG00045._2	2	7	1	333.226321
336	8	1	IMG00045._1	2	6	2	337.608646
344	8	1	IMG00045._0	2	5	2	345.458790
352	6	-2	n/a	n/a	n/a	n/a	n/a
