onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n03877845_299	1	699	n/a	n/a
40	8	1	n03445777_455	1	575	n/a	n/a
48	8	1	n02088632_1682	1	165	n/a	n/a
56	8	1	n03476991_8031	1	586	n/a	n/a
64	8	1	n02412080_22505	1	349	n/a	n/a
72	8	2	n02412080_22505	1	349	n/a	n/a
80	8	1	n02105412_1784	1	228	n/a	n/a
88	8	1	n02113186_920	1	265	n/a	n/a
96	8	1	n01774750_63	1	77	n/a	n/a
104	8	1	n01914609_2	1	109	n/a	n/a
112	8	1	n02233338_22335	1	315	n/a	n/a
120	8	1	n03929855_3407	1	716	n/a	n/a
128	8	1	n03884397_13723	1	700	n/a	n/a
136	8	1	n03759954_9444	1	651	n/a	n/a
144	8	1	n02028035_1237	1	142	n/a	n/a
152	8	1	n02788148_738	1	422	n/a	n/a
160	8	1	n02398521_1649	1	345	n/a	n/a
168	8	2	n02398521_1649	1	345	n/a	n/a
176	8	1	n02033041_689	1	143	n/a	n/a
184	8	1	n02497673_1651	1	384	n/a	n/a
192	8	1	n04204347_7065	1	792	n/a	n/a
200	8	2	n04204347_7065	1	792	n/a	n/a
208	8	1	n01558993_190	1	16	n/a	n/a
216	8	1	n02643566_5228	1	397	n/a	n/a
224	8	1	n01667114_13941	1	36	n/a	n/a
232	8	1	n02092002_3751	1	178	n/a	n/a
240	8	1	n02093859_5245	1	184	n/a	n/a
248	8	1	n03457902_41384	1	581	n/a	n/a
256	8	1	n01580077_701	1	18	n/a	n/a
264	8	1	n04141327_3389	1	778	n/a	n/a
272	8	1	n03417042_176	1	570	n/a	n/a
280	8	1	n01784675_1386	1	80	n/a	n/a
288	8	1	n03388043_125	1	563	n/a	n/a
296	8	1	n09288635_960	1	975	n/a	n/a
304	8	1	n02640242_1683	1	395	n/a	n/a
312	8	1	n02099429_4403	1	207	n/a	n/a
320	8	1	n02486261_881	1	372	n/a	n/a
328	8	1	n04485082_4265	1	873	n/a	n/a
336	8	1	n04125021_2694	1	772	n/a	n/a
344	8	1	n01664065_27821	1	34	n/a	n/a
352	8	1	n02088094_2654	1	161	n/a	n/a
360	8	2	n02088094_2654	1	161	n/a	n/a
368	8	1	n04465501_1045	1	867	n/a	n/a
376	8	1	n02165105_2285	1	301	n/a	n/a
384	8	1	n03134739_654	1	523	n/a	n/a
392	8	1	n04149813_91	1	782	n/a	n/a
400	8	1	n02276258_175	1	322	n/a	n/a
408	8	1	n03388183_1181	1	564	n/a	n/a
416	8	1	n04259630_1994	1	809	n/a	n/a
424	8	1	n02025239_2049	1	140	n/a	n/a
432	8	1	n02107312_3883	1	238	n/a	n/a
440	8	2	n02107312_3883	1	238	n/a	n/a
448	8	1	n07930864_1768	1	969	n/a	n/a
456	8	1	n03127747_1573	1	519	n/a	n/a
464	8	1	n02056570_6265	1	146	n/a	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
