onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00055._3	3	12	1	34.323089
40	8	1	IMG00055._2	3	11	1	41.571581
48	8	1	IMG00055._1	3	10	2	49.288106
56	8	1	IMG00055._0	3	9	2	56.921033
64	8	1	IMG00080._3	1	16	1	67.236333
72	8	1	IMG00080._2	1	15	1	73.968674
80	8	1	IMG00080._1	1	14	2	82.801105
88	8	1	IMG00080._0	1	13	2	88.617520
96	8	1	IMG00250._3	5	16	1	100.216634
104	8	1	IMG00250._2	5	15	1	107.614916
112	8	1	IMG00250._1	5	14	1	115.033600
120	8	1	IMG00250._0	5	13	2	121.447705
128	8	1	IMG00037._3	4	16	1	131.447137
136	8	1	IMG00037._2	4	15	1	138.811995
144	8	1	IMG00037._1	4	14	1	147.180414
152	8	1	IMG00037._0	4	13	2	152.994145
160	8	1	IMG00107._3	2	12	1	164.376958
168	8	1	IMG00107._2	2	11	1	170.276346
176	8	1	IMG00107._1	2	10	2	176.941814
184	8	1	IMG00107._0	2	9	2	184.840639
192	8	1	IMG00108._3	5	8	1	197.257037
200	8	1	IMG00108._2	5	7	2	201.606926
208	8	1	IMG00108._1	5	6	2	208.588309
216	8	1	IMG00108._0	5	5	2	216.473035
224	8	1	IMG00044._3	3	4	1	227.087493
232	8	1	IMG00044._2	3	3	2	233.220288
240	8	1	IMG00044._1	3	2	2	241.154581
248	8	1	IMG00044._0	3	1	2	248.901635
256	8	1	IMG00034._3	4	12	1	261.268403
264	8	1	IMG00034._2	4	11	2	266.135418
272	8	1	IMG00034._1	4	10	2	272.766885
280	8	1	IMG00034._0	4	9	2	281.100010
288	8	1	IMG00041._3	1	8	1	290.680890
296	8	1	IMG00041._2	1	7	1	298.514304
304	8	1	IMG00041._1	1	6	2	306.313613
312	8	1	IMG00041._0	1	5	2	312.929918
320	8	1	IMG00163._3	2	16	1	323.079319
328	8	1	IMG00163._2	2	15	1	330.028164
336	8	1	IMG00163._1	2	14	2	337.960913
344	8	1	IMG00163._0	2	13	2	344.810370
352	6	-2	n/a	n/a	n/a	n/a	n/a
