onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00114._3	5	12	1	34.367578
40	8	1	IMG00114._2	5	11	1	42.415752
48	8	1	IMG00114._1	5	10	2	49.946059
56	8	1	IMG00114._0	5	9	2	57.281560
64	8	1	IMG00021._3	4	8	1	66.594120
72	8	1	IMG00021._2	4	7	2	73.761419
80	8	1	IMG00021._1	4	6	2	81.093182
88	8	1	IMG00021._0	4	5	2	88.992232
96	8	1	IMG00045._3	2	8	1	97.443345
104	8	1	IMG00045._2	2	7	2	105.873389
112	8	1	IMG00045._1	2	6	2	113.290358
120	8	1	IMG00045._0	2	5	2	121.139327
128	8	1	IMG00042._3	1	12	1	130.905681
136	8	1	IMG00042._2	1	11	2	137.089099
144	8	1	IMG00042._1	1	10	2	145.022041
152	8	1	IMG00042._0	1	9	2	152.720210
160	8	1	IMG00060._3	3	16	2	161.802722
168	8	1	IMG00060._2	3	15	2	169.151445
176	8	1	IMG00060._1	3	14	2	176.701276
184	8	1	IMG00060._0	3	13	2	185.049359
192	8	1	IMG00107._3	2	12	1	194.781519
200	8	1	IMG00107._2	2	11	2	201.416176
208	8	1	IMG00107._1	2	10	2	209.215681
216	8	1	IMG00107._0	2	9	2	216.781014
224	8	1	IMG00001._3	1	4	1	227.380939
232	8	1	IMG00001._2	1	3	1	235.946041
240	8	1	IMG00001._1	1	2	2	241.861839
248	8	1	IMG00001._0	1	1	2	249.210737
256	8	1	IMG00044._3	3	4	1	259.742099
264	8	1	IMG00044._2	3	3	2	265.144559
272	8	1	IMG00044._1	3	2	2	272.941371
280	8	1	IMG00044._0	3	1	2	280.790243
288	8	1	IMG00034._3	4	12	1	292.223949
296	8	1	IMG00034._2	4	11	1	299.091049
304	8	1	IMG00034._1	4	10	1	308.488245
312	8	1	IMG00034._0	4	9	2	313.338991
320	8	1	IMG00108._3	5	8	1	324.471729
328	8	1	IMG00108._2	5	7	2	329.703658
336	8	1	IMG00108._1	5	6	2	337.018786
344	8	1	IMG00108._0	5	5	2	345.069797
352	6	-2	n/a	n/a	n/a	n/a	n/a
