onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n02865351_10582	1	452	n/a	n/a
40	8	1	n02093991_9794	1	185	n/a	n/a
48	8	1	n03937543_6080	1	721	n/a	n/a
56	8	2	n03937543_6080	1	721	n/a	n/a
64	8	1	n04612504_392	1	915	n/a	n/a
72	8	1	n03983396_313	1	738	n/a	n/a
80	8	1	n02795169_63557	1	428	n/a	n/a
88	8	1	n02497673_1651	1	384	n/a	n/a
96	8	1	n02101388_160	1	216	n/a	n/a
104	8	1	n04591157_2620	1	907	n/a	n/a
112	8	1	n02641379_39398	1	396	n/a	n/a
120	8	1	n03187595_3042	1	529	n/a	n/a
128	8	1	n03207743_216	1	534	n/a	n/a
136	8	2	n03207743_216	1	534	n/a	n/a
144	8	1	n02776631_40983	1	416	n/a	n/a
152	8	1	n07717410_1681	1	942	n/a	n/a
160	8	1	n02342885_6288	1	334	n/a	n/a
168	8	1	n02109047_6895	1	247	n/a	n/a
176	8	1	n01978455_10455	1	120	n/a	n/a
184	8	1	n02051845_12104	1	145	n/a	n/a
192	8	1	n02807133_5775	1	434	n/a	n/a
200	8	1	n12998815_4350	1	993	n/a	n/a
208	8	1	n02655020_16660	1	398	n/a	n/a
216	8	1	n02398521_1649	1	345	n/a	n/a
224	8	1	n13052670_156	1	997	n/a	n/a
232	8	1	n04371430_1241	1	843	n/a	n/a
240	8	1	n02483708_7039	1	370	n/a	n/a
248	8	1	n03887697_13069	1	701	n/a	n/a
256	8	1	n07745940_3242	1	950	n/a	n/a
264	8	1	n04252225_3879	1	804	n/a	n/a
272	8	1	n02111129_4432	1	256	n/a	n/a
280	8	1	n02992529_26975	1	488	n/a	n/a
288	8	1	n07753113_28926	1	953	n/a	n/a
296	8	1	n01983481_5385	1	123	n/a	n/a
304	8	1	n03467068_1496	1	584	n/a	n/a
312	8	2	n03467068_1496	1	584	n/a	n/a
320	8	1	n02099601_559	1	208	n/a	n/a
328	8	1	n03180011_236	1	528	n/a	n/a
336	8	1	n07930864_1768	1	969	n/a	n/a
344	8	1	n02115641_670	1	274	n/a	n/a
352	8	1	n02097209_5437	1	199	n/a	n/a
360	8	1	n03498962_8689	1	597	n/a	n/a
368	8	1	n01877812_10723	1	105	n/a	n/a
376	8	1	n01820546_1115	1	91	n/a	n/a
384	8	1	n04557648_9649	1	899	n/a	n/a
392	8	1	n02107312_3883	1	238	n/a	n/a
400	8	2	n02107312_3883	1	238	n/a	n/a
408	8	1	n04039381_4248	1	753	n/a	n/a
416	8	1	n02125311_1139	1	287	n/a	n/a
424	8	1	n02536864_18132	1	392	n/a	n/a
432	8	2	n02536864_18132	1	392	n/a	n/a
440	8	1	n02090622_9201	1	170	n/a	n/a
448	8	1	n01774384_6745	1	76	n/a	n/a
456	8	1	n02093859_5245	1	184	n/a	n/a
464	8	1	n03133878_1049	1	522	n/a	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
