onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n03692522_20628	1	634	0	0.000000
40	8	1	n06359193_61652	1	917	0	0.000000
48	8	1	n04447861_136	1	862	0	0.000000
56	8	1	n01667778_731	1	37	0	0.000000
64	8	1	n03777754_430	1	663	0	0.000000
72	8	1	n01796340_18400	1	82	0	0.000000
80	8	1	n04522168_5297	1	884	0	0.000000
88	8	1	n04367480_2881	1	841	0	0.000000
96	8	2	n04367480_2881	1	841	1	97.035564
104	8	1	n04044716_265	1	756	0	0.000000
112	8	1	n03670208_5655	1	628	0	0.000000
120	8	1	n09246464_5530	1	973	0	0.000000
128	8	1	n02091831_1404	1	177	0	0.000000
136	8	1	n01704323_3004	1	52	0	0.000000
144	8	1	n02091635_13152	1	176	0	0.000000
152	8	1	n13133613_48118	1	999	0	0.000000
160	8	1	n01776313_1223	1	79	0	0.000000
168	8	1	n01622779_226	1	25	0	0.000000
176	8	1	n02110806_1099	1	254	0	0.000000
184	8	1	n02093428_19825	1	181	0	0.000000
192	8	1	n02930766_5099	1	469	0	0.000000
200	8	1	n02113978_1595	1	269	0	0.000000
208	8	1	n03063599_3923	1	505	0	0.000000
216	8	1	n01773157_2376	1	73	0	0.000000
224	8	1	n04118538_3482	1	769	0	0.000000
232	8	2	n04118538_3482	1	769	1	233.022458
240	8	1	n03691459_69482	1	633	0	0.000000
248	8	1	n04332243_15784	1	829	0	0.000000
256	8	1	n04357314_2864	1	839	0	0.000000
264	8	1	n02002556_1820	1	128	0	0.000000
272	8	1	n04606251_13053	1	914	0	0.000000
280	8	1	n03291819_4024	1	550	0	0.000000
288	8	1	n04127249_4530	1	773	0	0.000000
296	8	1	n01807496_493	1	87	0	0.000000
304	8	1	n03992509_13376	1	740	0	0.000000
312	8	1	n04532670_6214	1	889	0	0.000000
320	8	1	n04483307_1300	1	872	0	0.000000
328	8	1	n02107683_3803	1	240	0	0.000000
336	8	2	n02107683_3803	1	240	1	337.029328
344	8	1	n03970156_27616	1	732	0	0.000000
352	8	1	n07590611_11131	1	927	0	0.000000
360	8	2	n07590611_11131	1	927	1	361.026911
368	8	1	n03127925_1334	1	520	0	0.000000
376	8	2	n03127925_1334	1	520	1	377.025473
384	8	1	n01669191_11846	1	38	0	0.000000
392	8	1	n03874599_13180	1	696	0	0.000000
400	8	1	n02190166_10859	1	309	0	0.000000
408	8	1	n03733131_8413	1	646	0	0.000000
416	8	1	n02837789_19104	1	446	0	0.000000
424	8	1	n02093754_5867	1	183	0	0.000000
432	8	1	n04355338_1256	1	836	0	0.000000
440	8	1	n02110958_2870	1	255	0	0.000000
448	8	1	n01675722_7450	1	39	0	0.000000
456	8	1	n03788365_2905	1	670	0	0.000000
464	8	1	n07760859_10405	1	957	0	0.000000
472	6	-2	n/a	n/a	n/a	n/a	n/a
