onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n07875152_1373	1	965	0	0.000000
40	8	1	n02788148_738	1	422	0	0.000000
48	8	1	n09332890_10767	1	976	0	0.000000
56	8	1	n04548362_1772	1	894	0	0.000000
64	8	1	n01496331_25573	1	6	0	0.000000
72	8	1	n02417914_5155	1	351	0	0.000000
80	8	1	n02415577_537	1	350	0	0.000000
88	8	1	n01443537_2125	1	2	0	0.000000
96	8	1	n02093647_5130	1	182	0	0.000000
104	8	2	n02093647_5130	1	182	1	105.031675
112	8	1	n07579787_20400	1	924	0	0.000000
120	8	1	n02117135_586	1	277	0	0.000000
128	8	1	n01697457_5774	1	50	0	0.000000
136	8	1	n02410509_8161	1	348	0	0.000000
144	8	1	n02096294_5683	1	194	0	0.000000
152	8	1	n07802026_13093	1	959	0	0.000000
160	8	1	n03494278_273	1	594	0	0.000000
168	8	1	n02966687_1086	1	478	0	0.000000
176	8	1	n03445777_455	1	575	0	0.000000
184	8	1	n04330267_1763	1	828	0	0.000000
192	8	1	n02317335_531	1	328	0	0.000000
200	8	2	n02317335_531	1	328	1	201.070868
208	8	1	n02113624_782	1	266	0	0.000000
216	8	1	n02389026_837	1	340	0	0.000000
224	8	1	n01843065_697	1	96	0	0.000000
232	8	1	n02906734_4355	1	463	0	0.000000
240	8	2	n02906734_4355	1	463	1	241.033756
248	8	1	n02110185_13091	1	251	0	0.000000
256	8	1	n02190166_10859	1	309	0	0.000000
264	8	1	n02802426_605	1	431	0	0.000000
272	8	1	n01622779_226	1	25	0	0.000000
280	8	1	n02091032_12425	1	172	0	0.000000
288	8	1	n03721384_25252	1	643	0	0.000000
296	8	1	n04041544_1362	1	755	0	0.000000
304	8	2	n04041544_1362	1	755	1	305.029171
312	8	1	n02966193_3495	1	477	0	0.000000
320	8	1	n02641379_39398	1	396	0	0.000000
328	8	2	n02641379_39398	1	396	1	329.026988
336	8	1	n03544143_17956	1	605	0	0.000000
344	8	1	n03803284_154	1	677	0	0.000000
352	8	1	n02119789_2515	1	279	0	0.000000
360	8	1	n03240683_778	1	541	0	0.000000
368	8	1	n07583066_9703	1	925	0	0.000000
376	8	1	n04285008_1140	1	818	0	0.000000
384	8	1	n03134739_654	1	523	0	0.000000
392	8	1	n04487394_30069	1	876	0	0.000000
400	8	1	n03481172_430	1	588	0	0.000000
408	8	1	n01514859_5530	1	9	0	0.000000
416	8	1	n01592084_3289	1	20	0	0.000000
424	8	1	n03793489_22924	1	674	0	0.000000
432	8	1	n04560804_6219	1	900	0	0.000000
440	8	1	n09399592_4050	1	977	0	0.000000
448	8	1	n02951585_32074	1	474	0	0.000000
456	8	1	n07716906_9585	1	941	0	0.000000
464	8	1	n03496892_294	1	596	0	0.000000
472	6	-2	n/a	n/a	n/a	n/a	n/a
