onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n03920288_7838	1	713	0	0.000000
40	8	1	n01735189_16560	1	58	0	0.000000
48	8	2	n01735189_16560	1	58	1	49.034864
56	8	1	n03478589_540	1	587	0	0.000000
64	8	1	n13044778_1337	1	996	0	0.000000
72	8	1	n01774750_63	1	77	0	0.000000
80	8	2	n01774750_63	1	77	1	81.033194
88	8	1	n02018795_5263	1	139	0	0.000000
96	8	1	n04606251_13053	1	914	0	0.000000
104	8	1	n02226429_294	1	312	0	0.000000
112	8	1	n12998815_4350	1	993	0	0.000000
120	8	1	n04522168_5297	1	884	0	0.000000
128	8	1	n04270147_8718	1	814	0	0.000000
136	8	1	n02033041_689	1	143	0	0.000000
144	8	1	n04179913_972	1	787	0	0.000000
152	8	2	n04179913_972	1	787	1	153.026496
160	8	1	n01664065_27821	1	34	0	0.000000
168	8	1	n01990800_9358	1	127	0	0.000000
176	8	1	n03814639_2583	1	679	0	0.000000
184	8	1	n03773504_6383	1	658	0	0.000000
192	8	1	n01737021_3035	1	59	0	0.000000
200	8	1	n07711569_749	1	936	0	0.000000
208	8	1	n01704323_3004	1	52	0	0.000000
216	8	1	n02013706_2288	1	136	0	0.000000
224	8	1	n11939491_5658	1	986	0	0.000000
232	8	1	n07615774_5677	1	930	0	0.000000
240	8	2	n07615774_5677	1	930	1	241.033848
248	8	1	n02910353_14991	1	465	0	0.000000
256	8	1	n02704792_8631	1	409	0	0.000000
264	8	1	n03871628_9690	1	693	0	0.000000
272	8	1	n03062245_2179	1	504	0	0.000000
280	8	1	n04317175_1413	1	824	0	0.000000
288	8	2	n04317175_1413	1	824	1	289.030013
296	8	1	n04074963_613	1	762	0	0.000000
304	8	1	n01687978_394	1	43	0	0.000000
312	8	1	n03796401_666	1	676	0	0.000000
320	8	1	n03980874_18712	1	736	0	0.000000
328	8	1	n02127052_206	1	288	0	0.000000
336	8	1	n02346627_7989	1	335	0	0.000000
344	8	1	n01983481_5385	1	123	0	0.000000
352	8	1	n01797886_26327	1	83	0	0.000000
360	8	1	n04228054_7610	1	796	0	0.000000
368	8	1	n02123394_8846	1	284	0	0.000000
376	8	1	n03485794_4991	1	592	0	0.000000
384	8	1	n04487081_1120	1	875	0	0.000000
392	8	1	n04131690_14057	1	774	0	0.000000
400	8	1	n03992509_13376	1	740	0	0.000000
408	8	1	n02749479_173	1	414	0	0.000000
416	8	1	n02123159_9450	1	283	0	0.000000
424	8	1	n02871525_5003	1	455	0	0.000000
432	8	1	n02110063_4619	1	250	0	0.000000
440	8	1	n02128757_1168	1	290	0	0.000000
448	8	1	n03840681_22011	1	685	0	0.000000
456	8	1	n07697537_23869	1	935	0	0.000000
464	8	1	n01773797_8794	1	75	0	0.000000
472	6	-2	n/a	n/a	n/a	n/a	n/a
