onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00044._3	1	68	1	35.301427
40	8	1	IMG00044._2	1	67	2	43.467306
48	8	1	IMG00044._1	1	66	2	51.084100
56	8	1	IMG00044._0	1	65	2	58.466324
64	8	1	IMG00006._3	1	12	1	68.314489
72	8	1	IMG00006._2	1	11	1	75.547866
80	8	1	IMG00006._1	1	10	1	84.430018
88	8	1	IMG00006._0	1	9	2	90.795661
96	8	1	IMG00021._3	1	44	1	98.778428
104	8	1	IMG00021._2	1	43	1	106.477657
112	8	1	IMG00021._1	1	42	1	115.360372
120	8	1	IMG00021._0	1	41	2	122.509548
128	8	1	IMG00027._3	1	52	1	130.358755
136	8	1	IMG00027._2	1	51	1	138.358260
144	8	1	IMG00027._1	1	50	2	145.274666
152	8	1	IMG00027._0	1	49	2	154.206660
160	8	1	IMG00045._3	1	72	2	163.605757
168	8	1	IMG00045._2	1	71	2	169.971229
176	8	1	IMG00045._1	1	70	2	177.753537
184	8	1	IMG00045._0	1	69	2	185.604300
192	8	1	IMG00032._3	1	60	1	194.518654
200	8	1	IMG00032._2	1	59	1	202.784873
208	8	1	IMG00032._1	1	58	2	210.901708
216	8	1	IMG00032._0	1	57	2	218.200606
224	8	1	IMG00018._3	1	40	1	227.384908
232	8	1	IMG00018._2	1	39	1	235.332158
240	8	1	IMG00018._1	1	38	2	242.564060
248	8	1	IMG00018._0	1	37	2	249.163641
256	8	1	IMG00038._3	1	64	1	258.545861
264	8	1	IMG00038._2	1	63	1	266.512952
272	8	1	IMG00038._1	1	62	1	275.495211
280	8	1	IMG00038._0	1	61	2	282.810783
288	8	1	IMG00008._3	1	20	1	291.410292
296	8	1	IMG00008._2	1	19	2	299.259325
304	8	1	IMG00008._1	1	18	2	306.208803
312	8	1	IMG00008._0	1	17	2	313.691893
320	8	1	IMG00025._3	1	48	1	322.873670
328	8	1	IMG00025._2	1	47	1	330.222909
336	8	1	IMG00025._1	1	46	1	338.088642
344	8	1	IMG00025._0	1	45	2	346.471688
352	6	-2	n/a	n/a	n/a	n/a	n/a
