onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00021._3	4	8	2	35.405124
40	8	1	IMG00021._2	4	7	2	42.118719
48	8	1	IMG00021._1	4	6	2	48.701885
56	8	1	IMG00021._0	4	5	2	56.533843
64	8	1	IMG00055._3	3	12	1	66.450525
72	8	1	IMG00055._2	3	11	1	73.881795
80	8	1	IMG00055._1	3	10	2	81.848233
88	8	1	IMG00055._0	3	9	2	88.532222
96	8	1	IMG00107._3	2	12	1	98.064893
104	8	1	IMG00107._2	2	11	2	105.430595
112	8	1	IMG00107._1	2	10	2	112.428314
120	8	1	IMG00107._0	2	9	2	120.610959
128	8	1	IMG00041._3	1	8	1	130.526426
136	8	1	IMG00041._2	1	7	1	137.160333
144	8	1	IMG00041._1	1	6	2	145.109819
152	8	1	IMG00041._0	1	5	2	152.424607
160	8	1	IMG00108._3	5	8	1	162.672728
168	8	1	IMG00108._2	5	7	2	169.423868
176	8	1	IMG00108._1	5	6	2	176.473166
184	8	1	IMG00108._0	5	5	2	184.504496
192	8	1	IMG00049._3	3	8	1	195.106551
200	8	1	IMG00049._2	3	7	2	201.685623
208	8	1	IMG00049._1	3	6	2	208.918414
216	8	1	IMG00049._0	3	5	2	216.385145
224	8	1	IMG00042._3	1	12	1	226.350681
232	8	1	IMG00042._2	1	11	1	233.433179
240	8	1	IMG00042._1	1	10	1	0.000000
248	8	1	IMG00042._0	1	9	2	249.398736
256	8	1	IMG00006._3	2	4	1	257.314555
264	8	1	IMG00006._2	2	3	2	265.164034
272	8	1	IMG00006._1	2	2	2	273.131139
280	8	1	IMG00006._0	2	1	2	280.646329
288	8	1	IMG00105._3	5	4	1	289.960990
296	8	1	IMG00105._2	5	3	2	298.943058
304	8	1	IMG00105._1	5	2	2	305.276568
312	8	1	IMG00105._0	5	1	2	313.127784
320	8	1	IMG00034._3	4	12	1	322.441369
328	8	1	IMG00034._2	4	11	1	331.207424
336	8	1	IMG00034._1	4	10	2	336.656412
344	8	1	IMG00034._0	4	9	2	345.207440
352	6	-2	n/a	n/a	n/a	n/a	n/a
