onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	IMG00001._3	1	4	1	36.104600
40	8	1	IMG00001._2	1	3	2	41.935753
48	8	1	IMG00001._1	1	2	2	49.052476
56	8	1	IMG00001._0	1	1	2	56.435061
64	8	1	IMG00037._3	4	16	1	66.384763
72	8	1	IMG00037._2	4	15	1	73.633022
80	8	1	IMG00037._1	4	14	2	81.249570
88	8	1	IMG00037._0	4	13	2	90.133455
96	8	1	IMG00045._3	2	8	2	97.880088
104	8	1	IMG00045._2	2	7	2	105.297819
112	8	1	IMG00045._1	2	6	2	113.029788
120	8	1	IMG00045._0	2	5	2	121.263179
128	8	1	IMG00044._3	3	4	1	131.362331
136	8	1	IMG00044._2	3	3	2	137.377598
144	8	1	IMG00044._1	3	2	2	151.958870
152	8	1	IMG00044._0	3	1	2	153.475618
160	8	1	IMG00114._3	5	12	1	163.457984
168	8	1	IMG00114._2	5	11	1	171.639901
176	8	1	IMG00114._1	5	10	2	178.458338
184	8	1	IMG00114._0	5	9	2	185.539819
192	8	1	IMG00060._3	3	16	2	194.538174
200	8	1	IMG00060._2	3	15	2	201.305974
208	8	1	IMG00060._1	3	14	2	209.120909
216	8	1	IMG00060._0	3	13	2	217.503620
224	8	1	IMG00163._3	2	16	1	227.517997
232	8	1	IMG00163._2	2	15	1	235.085439
240	8	1	IMG00163._1	2	14	2	243.150684
248	8	1	IMG00163._0	2	13	2	250.049747
256	8	1	IMG00007._3	4	4	1	259.415753
264	8	1	IMG00007._2	4	3	1	267.415495
272	8	1	IMG00007._1	4	2	1	275.147672
280	8	1	IMG00007._0	4	1	2	281.763818
288	8	1	IMG00080._3	1	16	1	290.529425
296	8	1	IMG00080._2	1	15	1	296.944633
304	8	1	IMG00080._1	1	14	2	306.145710
312	8	1	IMG00080._0	1	13	2	312.859757
320	8	1	IMG00250._3	5	16	1	325.675223
328	8	1	IMG00250._2	5	15	1	330.458976
336	8	1	IMG00250._1	5	14	2	338.641133
344	8	1	IMG00250._0	5	13	2	344.390872
352	6	-2	n/a	n/a	n/a	n/a	n/a
