onset	duration	trial_type	stimulus_name	category_index	image_index	button_response	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	n13054560_171	1	998	n/a	n/a
40	8	1	n04040759_2581	1	754	n/a	n/a
48	8	2	n04040759_2581	1	754	n/a	n/a
56	8	1	n02268853_15483	1	321	n/a	n/a
64	8	1	n04417672_5642	1	854	n/a	n/a
72	8	1	n03888605_34162	1	703	n/a	n/a
80	8	2	n03888605_34162	1	703	n/a	n/a
88	8	1	n03259280_11920	1	545	n/a	n/a
96	8	1	n01820546_1115	1	91	n/a	n/a
104	8	1	n02807133_5775	1	434	n/a	n/a
112	8	1	n02102318_1947	1	220	n/a	n/a
120	8	1	n02793495_10298	1	426	n/a	n/a
128	8	1	n03776460_21412	1	661	n/a	n/a
136	8	1	n02422699_422	1	353	n/a	n/a
144	8	1	n10565667_7812	1	984	n/a	n/a
152	8	2	n10565667_7812	1	984	n/a	n/a
160	8	1	n03483316_2345	1	590	n/a	n/a
168	8	1	n01692333_8862	1	46	n/a	n/a
176	8	1	n04335435_9717	1	830	n/a	n/a
184	8	1	n03930313_4671	1	717	n/a	n/a
192	8	1	n04208210_8853	1	793	n/a	n/a
200	8	1	n03124043_2472	1	515	n/a	n/a
208	8	1	n13040303_4594	1	995	n/a	n/a
216	8	1	n02992211_50317	1	487	n/a	n/a
224	8	1	n02165456_7402	1	302	n/a	n/a
232	8	1	n02096294_5683	1	194	n/a	n/a
240	8	2	n02096294_5683	1	194	n/a	n/a
248	8	1	n04273569_8007	1	815	n/a	n/a
256	8	1	n02979186_8889	1	483	n/a	n/a
264	8	1	n04532106_49	1	888	n/a	n/a
272	8	1	n07831146_102	1	960	n/a	n/a
280	8	1	n02012849_1286	1	135	n/a	n/a
288	8	2	n02012849_1286	1	135	n/a	n/a
296	8	1	n04033901_7419	1	750	n/a	n/a
304	8	1	n02504013_179	1	386	n/a	n/a
312	8	1	n01819313_867	1	90	n/a	n/a
320	8	1	n02174001_2724	1	307	n/a	n/a
328	8	1	n04579145_5752	1	902	n/a	n/a
336	8	1	n04409515_17709	1	853	n/a	n/a
344	8	1	n02115913_1763	1	275	n/a	n/a
352	8	1	n02094258_4825	1	187	n/a	n/a
360	8	1	n04254777_11237	1	807	n/a	n/a
368	8	1	n07802026_13093	1	959	n/a	n/a
376	8	1	n04235860_6674	1	798	n/a	n/a
384	8	1	n02087394_2326	1	160	n/a	n/a
392	8	1	n03590841_10142	1	608	n/a	n/a
400	8	1	n07730033_1223	1	947	n/a	n/a
408	8	1	n07734744_2610	1	948	n/a	n/a
416	8	1	n07714990_16349	1	938	n/a	n/a
424	8	1	n01484850_25975	1	3	n/a	n/a
432	8	1	n03769881_4393	1	655	n/a	n/a
440	8	1	n02708093_6175	1	410	n/a	n/a
448	8	1	n03271574_1484	1	546	n/a	n/a
456	8	1	n01532829_2590	1	13	n/a	n/a
464	8	1	n02909870_4	1	464	n/a	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
